# Books brought up in the classes: title<TAB>author<TAB>kind<TAB>search forms (';'-separated,
# lower case, each distinctive enough to mean this book). scripts/corpus/books.py counts them.
# kind: history, reference, religious (other traditions' scripture), apocryphal (outside the
# 80 books), lost (named in scripture, not extant), psychology, class (written by teachers).
# Forms must mean the book, not the words: "behold a pale horse" is Revelation 6:8 read aloud, so
# that book is found by its author. Lost books are counted when the verse naming them is read.
The Book of the Wars of the Lord	named in Numbers 21:14	lost	book of the wars of the lord
The Book of the Acts of Solomon	named in 1 Kings 11:41	lost	acts of solomon
The Book of the Chronicles of the Kings of Israel and Judah	named in 1 and 2 Kings	lost	chronicles of the kings of judah;chronicles of the kings of israel
The Sayings of the Seers	named in 2 Chronicles 33:19	lost	sayings of the seers
The Book of Nathan the Prophet	named in 1 Chronicles 29:29	lost	book of nathan the prophet
The Book of Gad the Seer	named in 1 Chronicles 29:29	lost	book of gad the seer
The Talmud		religious	talmud
The Quran		religious	quran;koran
The Book of Mormon		religious	book of mormon
The Developmental Psychology of the Black Child	Amos N. Wilson	psychology	psychology of the black child
Countering the Conspiracy to Destroy Black Boys	Jawanza Kunjufu	psychology	conspiracy to destroy black boys
Black Men: Obsolete, Single, Dangerous?	Haki R. Madhubuti	psychology	obsolete single and dangerous;obsolete single dangerous;single and dangerous
Post Traumatic Slave Syndrome	Joy DeGruy	psychology	post traumatic slave syndrome;post-traumatic slave syndrome
Waking the Tiger	Peter A. Levine	psychology	waking the tiger
Influence: The Psychology of Persuasion	Robert Cialdini	psychology	psychology of persuasion
Trauma Letters: Healing the Child Within	Captain Galayah	class	trauma letters
The Spiritual Power of a Black Woman	Captain Hoshaya	class	spiritual power of a black woman
